education,sample_1_a,sample_1_b,sample_1_c,sample_1_d,sample_1_e,sample_2_a,sample_2_b,sample_2_c,sample_2_d,sample_2_e,sample_3_a,sample_3_b,sample_3_c,sample_3_d,sample_3_e,sample_4_a,sample_4_b,sample_4_c,sample_4_d,sample_4_e,sample_5_a,sample_5_b,sample_5_c,sample_5_d,sample_5_e
Bachelors,0.21,0.28,0.3,0.25,0.23,0.227,0.209,0.234,0.218,0.201,0.214741,0.215139,0.208367,0.212351,0.222709,0.214897,0.209321,0.210118,0.209918,0.218283,0.215909,0.208612,0.213038,0.208852,0.205383
HS-grad,0.45,0.34,0.4,0.37,0.35,0.44,0.421,0.406,0.414,0.45,0.422709,0.417928,0.418725,0.424701,0.41753,0.420036,0.418243,0.412468,0.414658,0.41426,0.407656,0.422368,0.421292,0.419498,0.422727
Some-college,0.29,0.34,0.24,0.35,0.28,0.274,0.281,0.287,0.286,0.28,0.284861,0.286853,0.293625,0.287251,0.276892,0.284206,0.29038,0.299741,0.298944,0.29297,0.293182,,0.28756,0.297727,0.292344
Bachelors,0.26,0.28,0.24,0.2,0.32,0.16,0.19,0.21,0.14,0.2,0.21,0.23,0.21,0.21,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.22,0.22,0.21,0.21
HS-grad,,0.31,0.39,0.37,0.29,0.322,0.331,0.305,0.344,0.313,0.330467,0.326474,0.32801,0.317568,0.32156,,0.319257,0.320485,0.325553,0.326321,0.320944,0.322328,0.321129,0.328876,0.321129
Prof-school,0.03,0.02,0.01,0.02,0.05,0.016,0.026,0.026,0.026,0.027,0.022709,0.021514,0.020717,0.021514,0.026295,0.024895,0.027086,0.024497,,0.022107,0.024402,0.02201,0.021531,0.023086,0.024522
Some-college,0.41,,0.42,0.4,0.42,,0.29,0.28,0.31,0.29,0.21,0.21,0.22,0.21,0.21,0.06,0.06,0.05,0.06,0.06,0.02,0.02,",03",0.02,0.03
Assoc-voc,0.02,0.02,0.05,0.01,0.09,,0.063,0.047,0.056,0.042,0.05498,,0.058566,0.054183,0.056574,0.055965,0.054969,0.053177,0.052181,0.05238,0.061244,0.052033,0.055024,0.052392,
Some-college,0.21,0.24,0.24,0.18,0.22,0.2,0.235,0.211,,0.209,0.22543,0.229115,0.227887,0.22758,0.226658,,0.221284,0.223127,0.22758,0.226812,0.223739,0.224384,0.219681,0.2242,0.223278
HS-grad,0.27,0.31,0.36,0.32,0.34,0.353,0.314,0.317,0.299,0.315,0.323403,0.324017,0.324631,0.330774,0.312654,0.31726,0.317721,0.33016,0.328471,0.318643,0.324887,,0.322307,0.319082,0.321478
Bachelors,0.14,0.13,0.13,0.17,0.19,0.167,0.154,0.169,0.153,0.168,0.165233,,0.168919,0.165541,0.159705,0.162316,0.166001,0.162316,0.161087,0.162009,0.166928,0.163516,0.167481,0.164161,0.165729
Assoc-voc,0.03,,0.01,0.05,0.04,0.035,0.041,0.035,0.047,0.044,0.039619,0.040541,0.046376,0.039619,0.04484,0.040694,0.04438,0.044687,0.045301,0.041155,0.041133,0.042608,0.04187,0.043346,
Some-college,0.25,0.21,0.22,0.16,0.25,0.228,0.208,0.219,0.246,0.238,0.222359,0.23188,0.215295,0.220823,0.235872,0.229423,0.222666,0.21898,,0.212684,0.223072,,0.221045,0.21911,0.226113
